country,region,region_type,city,city_slug,region_slug,country_slug
India,Andaman and Nicobar Islands,union territory,Port Blair,port-blair,andaman-and-nicobar-islands,india
India,Andhra Pradesh,state,Adoni,adoni,andhra-pradesh,india
India,Andhra Pradesh,state,Amaravati,amaravati,andhra-pradesh,india
India,Andhra Pradesh,state,Anantapur,anantapur,andhra-pradesh,india
India,Andhra Pradesh,state,Chandragiri,chandragiri,andhra-pradesh,india
India,Andhra Pradesh,state,Chittoor,chittoor,andhra-pradesh,india
India,Andhra Pradesh,state,Dowlaiswaram,dowlaiswaram,andhra-pradesh,india
India,Andhra Pradesh,state,Eluru,eluru,andhra-pradesh,india
India,Andhra Pradesh,state,Guntur,guntur,andhra-pradesh,india
India,Andhra Pradesh,state,Kadapa,kadapa,andhra-pradesh,india
India,Andhra Pradesh,state,Kakinada,kakinada,andhra-pradesh,india
India,Andhra Pradesh,state,Kurnool,kurnool,andhra-pradesh,india
India,Andhra Pradesh,state,Machilipatnam,machilipatnam,andhra-pradesh,india
India,Andhra Pradesh,state,Nagarjunakoṇḍa,nagarjunakonda,andhra-pradesh,india
India,Andhra Pradesh,state,Rajahmundry,rajahmundry,andhra-pradesh,india
India,Andhra Pradesh,state,Srikakulam,srikakulam,andhra-pradesh,india
India,Andhra Pradesh,state,Tirupati,tirupati,andhra-pradesh,india
India,Andhra Pradesh,state,Vijayawada,vijayawada,andhra-pradesh,india
India,Andhra Pradesh,state,Visakhapatnam,visakhapatnam,andhra-pradesh,india
India,Andhra Pradesh,state,Vizianagaram,vizianagaram,andhra-pradesh,india
India,Andhra Pradesh,state,Yemmiganur,yemmiganur,andhra-pradesh,india
India,Arunachal Pradesh,state,Itanagar,itanagar,arunachal-pradesh,india
India,Assam,state,Dhuburi,dhuburi,assam,india
India,Assam,state,Dibrugarh,dibrugarh,assam,india
India,Assam,state,Dispur,dispur,assam,india
India,Assam,state,Guwahati,guwahati,assam,india
India,Assam,state,Jorhat,jorhat,assam,india
India,Assam,state,Nagaon,nagaon,assam,india
India,Assam,state,Sivasagar,sivasagar,assam,india
India,Assam,state,Silchar,silchar,assam,india
India,Assam,state,Tezpur,tezpur,assam,india
India,Assam,state,Tinsukia,tinsukia,assam,india
India,Bihar,state,Ara,ara,bihar,india
India,Bihar,state,Barauni,barauni,bihar,india
India,Bihar,state,Begusarai,begusarai,bihar,india
India,Bihar,state,Bettiah,bettiah,bihar,india
India,Bihar,state,Bhagalpur,bhagalpur,bihar,india
India,Bihar,state,Bihar Sharif,bihar-sharif,bihar,india
India,Bihar,state,Bodh Gaya,bodh-gaya,bihar,india
India,Bihar,state,Buxar,buxar,bihar,india
India,Bihar,state,Chapra,chapra,bihar,india
India,Bihar,state,Darbhanga,darbhanga,bihar,india
India,Bihar,state,Dehri,dehri,bihar,india
India,Bihar,state,Dinapur Nizamat,dinapur-nizamat,bihar,india
India,Bihar,state,Gaya,gaya,bihar,india
India,Bihar,state,Hajipur,hajipur,bihar,india
India,Bihar,state,Jamalpur,jamalpur,bihar,india
India,Bihar,state,Katihar,katihar,bihar,india
India,Bihar,state,Madhubani,madhubani,bihar,india
India,Bihar,state,Motihari,motihari,bihar,india
India,Bihar,state,Munger,munger,bihar,india
India,Bihar,state,Muzaffarpur,muzaffarpur,bihar,india
India,Bihar,state,Patna,patna,bihar,india
India,Bihar,state,Purnia,purnia,bihar,india
India,Bihar,state,Pusa,pusa,bihar,india
India,Bihar,state,Saharsa,saharsa,bihar,india
India,Bihar,state,Samastipur,samastipur,bihar,india
India,Bihar,state,Sasaram,sasaram,bihar,india
India,Bihar,state,Sitamarhi,sitamarhi,bihar,india
India,Bihar,state,Siwan,siwan,bihar,india
India,Chandigarh,union territory,Chandigarh,chandigarh,chandigarh,india
India,Chhattisgarh,state,Ambikapur,ambikapur,chhattisgarh,india
India,Chhattisgarh,state,Bhilai,bhilai,chhattisgarh,india
India,Chhattisgarh,state,Bilaspur,bilaspur,chhattisgarh,india
India,Chhattisgarh,state,Dhamtari,dhamtari,chhattisgarh,india
India,Chhattisgarh,state,Durg,durg,chhattisgarh,india
India,Chhattisgarh,state,Jagdalpur,jagdalpur,chhattisgarh,india
India,Chhattisgarh,state,Raipur,raipur,chhattisgarh,india
India,Chhattisgarh,state,Rajnandgaon,rajnandgaon,chhattisgarh,india
India,Dadra and Nagar Haveli and Daman and Diu,union territory,Daman,daman,dadra-and-nagar-haveli-and-daman-and-diu,india
India,Dadra and Nagar Haveli and Daman and Diu,union territory,Diu,diu,dadra-and-nagar-haveli-and-daman-and-diu,india
India,Dadra and Nagar Haveli and Daman and Diu,union territory,Silvassa,silvassa,dadra-and-nagar-haveli-and-daman-and-diu,india
India,Delhi,national capital territory,Delhi,delhi,delhi,india
India,Delhi,national capital territory,New Delhi,new-delhi,delhi,india
India,Goa,state,Madgaon,madgaon,goa,india
India,Goa,state,Panaji,panaji,goa,india
India,Gujarat,state,Ahmadabad,ahmadabad,gujarat,india
India,Gujarat,state,Amreli,amreli,gujarat,india
India,Gujarat,state,Bharuch,bharuch,gujarat,india
India,Gujarat,state,Bhavnagar,bhavnagar,gujarat,india
India,Gujarat,state,Bhuj,bhuj,gujarat,india
India,Gujarat,state,Dwarka,dwarka,gujarat,india
India,Gujarat,state,Gandhinagar,gandhinagar,gujarat,india
India,Gujarat,state,Godhra,godhra,gujarat,india
India,Gujarat,state,Jamnagar,jamnagar,gujarat,india
India,Gujarat,state,Junagadh,junagadh,gujarat,india
India,Gujarat,state,Kandla,kandla,gujarat,india
India,Gujarat,state,Khambhat,khambhat,gujarat,india
India,Gujarat,state,Kheda,kheda,gujarat,india
India,Gujarat,state,Mahesana,mahesana,gujarat,india
India,Gujarat,state,Morbi,morbi,gujarat,india
India,Gujarat,state,Nadiad,nadiad,gujarat,india
India,Gujarat,state,Navsari,navsari,gujarat,india
India,Gujarat,state,Okha,okha,gujarat,india
India,Gujarat,state,Palanpur,palanpur,gujarat,india
India,Gujarat,state,Patan,patan,gujarat,india
India,Gujarat,state,Porbandar,porbandar,gujarat,india
India,Gujarat,state,Rajkot,rajkot,gujarat,india
India,Gujarat,state,Surat,surat,gujarat,india
India,Gujarat,state,Surendranagar,surendranagar,gujarat,india
India,Gujarat,state,Valsad,valsad,gujarat,india
India,Gujarat,state,Veraval,veraval,gujarat,india
India,Haryana,state,Ambala,ambala,haryana,india
India,Haryana,state,Bhiwani,bhiwani,haryana,india
India,Haryana,state,Chandigarh,chandigarh,haryana,india
India,Haryana,state,Faridabad,faridabad,haryana,india
India,Haryana,state,Firozpur Jhirka,firozpur-jhirka,haryana,india
India,Haryana,state,Gurugram,gurugram,haryana,india
India,Haryana,state,Hansi,hansi,haryana,india
India,Haryana,state,Hisar,hisar,haryana,india
India,Haryana,state,Jind,jind,haryana,india
India,Haryana,state,Kaithal,kaithal,haryana,india
India,Haryana,state,Karnal,karnal,haryana,india
India,Haryana,state,Kurukshetra,kurukshetra,haryana,india
India,Haryana,state,Panipat,panipat,haryana,india
India,Haryana,state,Pehowa,pehowa,haryana,india
India,Haryana,state,Rewari,rewari,haryana,india
India,Haryana,state,Rohtak,rohtak,haryana,india
India,Haryana,state,Sirsa,sirsa,haryana,india
India,Haryana,state,Sonipat,sonipat,haryana,india
India,Himachal Pradesh,state,Bilaspur,bilaspur,himachal-pradesh,india
India,Himachal Pradesh,state,Chamba,chamba,himachal-pradesh,india
India,Himachal Pradesh,state,Dalhousie,dalhousie,himachal-pradesh,india
India,Himachal Pradesh,state,Dharmshala,dharmshala,himachal-pradesh,india
India,Himachal Pradesh,state,Hamirpur,hamirpur,himachal-pradesh,india
India,Himachal Pradesh,state,Kangra,kangra,himachal-pradesh,india
India,Himachal Pradesh,state,Kullu,kullu,himachal-pradesh,india
